排名,代號,名稱,收盤價,合成分,籌碼分,技術分,法人連買(天),融資趨勢,EMA 趨勢,RSI,MACD,布林量突破,技術得分明細
1,2501,國建,23.85,85.0,75,40,5,S-,多頭排列↑,63.0,遞增↑,✅,EMA多排(+15)、MACD↑(+10)、RSI63(+10)、BB突破(+5)
2,3023,信邦,270.0,83.8,73,40,4,S-,多頭排列↑,68.9,遞增↑,✅,EMA多排(+15)、MACD↑(+10)、RSI69(+10)、BB突破(+5)
3,9933,中鼎,34.25,82.6,96,25,8,S-,多頭排列↑,61.9,遞減↓,,EMA多排(+15)、RSI62(+10)
4,6530,創威,88.7,82.6,71,40,3,S-,多頭排列↑,67.8,遞增↑,✅,EMA多排(+15)、MACD↑(+10)、RSI68(+10)、BB突破(+5)
5,2014,中鴻,19.6,81.4,69,40,2,S-,多頭排列↑,65.0,遞增↑,✅,EMA多排(+15)、MACD↑(+10)、RSI65(+10)、BB突破(+5)
6,5452,佶優,39.45,81.4,69,40,2,S-,多頭排列↑,69.0,遞增↑,✅,EMA多排(+15)、MACD↑(+10)、RSI69(+10)、BB突破(+5)
7,2329,華泰,62.1,81.4,69,40,2,S-,多頭排列↑,62.6,遞增↑,✅,EMA多排(+15)、MACD↑(+10)、RSI63(+10)、BB突破(+5)
8,4938,和碩,77.0,81.4,94,25,7,S-,多頭排列↑,63.2,遞減↓,,EMA多排(+15)、RSI63(+10)
9,4904,遠傳,94.1,80.0,75,35,5,S-,多頭排列↑,57.3,遞增↑,,EMA多排(+15)、MACD↑(+10)、RSI57(+10)
10,6139,亞翔,593.0,80.0,75,35,5,S-,多頭排列↑,60.1,遞增↑,,EMA多排(+15)、MACD↑(+10)、RSI60(+10)
11,5483,中美晶,125.0,80.0,75,35,5,S-,多頭排列↑,58.0,遞增↑,,EMA多排(+15)、MACD↑(+10)、RSI58(+10)
12,2308,台達電,1475.0,78.8,73,35,4,S-,多頭排列↑,63.6,遞增↑,,EMA多排(+15)、MACD↑(+10)、RSI64(+10)
13,8021,尖點,264.5,78.8,73,35,4,S-,多頭排列↑,62.6,遞增↑,,EMA多排(+15)、MACD↑(+10)、RSI63(+10)
14,8064,東捷,64.4,76.6,86,25,8,-,多頭排列↑,66.8,遞減↓,,EMA多排(+15)、RSI67(+10)
15,6120,達運,13.95,76.4,69,35,2,S-,多頭排列↑,57.6,遞增↑,,EMA多排(+15)、MACD↑(+10)、RSI58(+10)
16,3017,奇鋐,2050.0,76.4,69,35,2,S-,多頭排列↑,69.1,遞增↑,,EMA多排(+15)、MACD↑(+10)、RSI69(+10)
17,3526,凡甲,293.0,76.0,85,25,10,S-,多頭排列↑,59.0,遞減↓,,EMA多排(+15)、RSI59(+10)
18,2406,國碩,37.05,75.4,84,25,2,S-,多頭排列↑,61.6,遞減↓,,EMA多排(+15)、RSI62(+10)
19,3707,漢磊,59.2,74.8,83,25,9,S-,多頭排列↑,54.0,遞減↓,,EMA多排(+15)、RSI54(+10)
20,2618,長榮航,34.8,74.0,90,20,5,S-,空頭,44.7,遞增↑,,MACD↑(+10)、RSI45(+10)
21,6451,訊芯-KY,274.5,73.6,81,25,8,S-,多頭排列↑,72.5,遞增↑,,EMA多排(+15)、MACD↑(+10)
22,3583,辛耘,430.0,73.6,81,25,8,S-,多頭排列↑,71.6,遞增↑,,EMA多排(+15)、MACD↑(+10)
