排行,代號,大戶佔比(%),大戶增幅(2週%),逐週正增,股價,成交量,TTM殖利率(%),MA20乖離(%),名稱,產業
1,2069,62.62,0.71,✅,19.6,1241張,9.69,6.03,運錩,鋼鐵工業
2,3213,31.32,1.0,✅,136.5,1011張,9.52,7.52,茂訊,電腦及週邊設備業
3,3034,71.57,0.79,✅,542.0,3484張,9.41,8.53,聯詠,電子工業
4,2357,74.06,1.1,✅,817.0,4617張,9.3,7.95,華碩,電腦及週邊設備業
5,2439,34.06,0.61,✅,80.2,1187張,9.09,-3.18,美律,電子工業
6,2362,80.69,1.04,✅,50.5,4212張,8.97,15.36,藍天,電腦及週邊設備業
7,9939,63.22,1.44,⚡,144.5,3056張,8.58,11.07,宏全,其他
8,8114,49.74,1.38,⚡,225.5,1166張,8.53,7.74,振樺電,電腦及週邊設備業
9,3293,56.39,1.87,✅,799.0,2744張,8.14,8.67,鈊象,文化創意業
10,6206,55.8,3.39,✅,144.0,2181張,7.99,11.82,飛捷,電腦及週邊設備業
11,8112,38.65,1.26,⚡,91.2,22270張,7.84,8.07,至上,電子工業
12,5904,100.0,30.82,✅,720.0,1501張,6.74,6.91,寶雅,居家生活類
13,2030,48.88,0.81,✅,18.6,1707張,6.51,6.97,彰源,鋼鐵工業
14,6782,48.07,0.59,⚡,218.0,1179張,6.19,13.39,視陽,生技醫療業
15,2421,59.01,1.77,⚡,151.5,6064張,5.91,13.29,建準,電子零組件業
16,2027,76.61,1.16,✅,46.6,16825張,5.58,8.69,大成鋼,鋼鐵工業
17,8050,44.59,0.54,⚡,69.0,16276張,5.24,14.6,廣積,電腦及週邊設備業
18,3231,68.92,4.29,✅,183.5,65416張,5.07,10.34,緯創,電腦及週邊設備業
19,2354,46.81,1.37,⚡,61.8,81425張,4.69,10.16,鴻準,電子工業
20,2006,81.1,1.43,✅,88.5,7446張,4.52,18.61,東和鋼鐵,鋼鐵工業
