rank,stock_id,stock_name,market,listed_market,official_industry_raw,normalized_industry,listing_date,is_active_latest_price,latest_price_date,latest_close,revenue_12m,revenue_month_count,revenue_period_start,revenue_period_end,ranking_basis,source,source_date,quality_note
1,8454,富邦媒,twse,上市,數位雲端,數位雲端,2014-12-19,true,2026-07-29,250.5,108854231000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
2,8044,網家,tpex,上櫃,數位雲端類,數位雲端,2005-01-24,true,2026-07-29,25.65,37505854000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
3,6689,伊雲谷,twse,上市,數位雲端,數位雲端,2022-09-13,true,2026-07-29,55.4,12275466000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
4,6811,宏碁資訊,tpex,上櫃,數位雲端類,數位雲端,2022-08-09,true,2026-07-29,214.5,10080190000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
5,7722,LINEPAY,twse,上市,數位雲端,數位雲端,2024-12-05,true,2026-07-29,272.5,8153585000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
6,2949,欣新網,tpex,上櫃,數位雲端類,數位雲端,2023-12-15,true,2026-07-29,59.0,5917942000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
7,6997,博弘,tpex,上櫃,"數位雲端,數位雲端類",數位雲端,2024-12-16,true,2026-07-29,68.5,4523966000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
8,6614,資拓宏宇,twse,上市,數位雲端,數位雲端,2025-11-25,true,2026-07-29,37.6,3611585000,7,2025-10-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
9,7805,威聯通,tpex,上櫃,"數位雲端,數位雲端類",數位雲端,2025-12-22,true,2026-07-29,580.0,3421402000,6,2025-11-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
10,6165,浪凡,twse,上市,數位雲端,數位雲端,2003-08-04,true,2026-07-29,47.8,3273149000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,2640,大車隊,tpex,上櫃,數位雲端類,數位雲端,2012-11-07,true,2026-07-29,143.0,3173958000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,3085,新零售,tpex,上櫃,數位雲端類,數位雲端,2004-03-01,true,2026-07-29,12.1,53789000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,3130,一零四,twse,上市,數位雲端,數位雲端,2006-02-17,true,2026-07-29,205.0,2701376000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,3687,歐買尬,tpex,上櫃,數位雲端類,數位雲端,2020-06-01,true,2026-07-29,64.6,1886584000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5278,尚凡*,tpex,上櫃,數位雲端類,數位雲端,2013-06-04,true,2026-07-29,23.3,2723943000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5287,數字,tpex,上櫃,數位雲端類,數位雲端,2014-01-20,true,2026-07-29,145.0,2323418000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5321,美而快,tpex,上櫃,數位雲端類,數位雲端,1996-12-30,true,2026-07-29,53.8,2690077000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
