rank,stock_id,stock_name,market,listed_market,official_industry_raw,normalized_industry,listing_date,is_active_latest_price,latest_price_date,latest_close,revenue_12m,revenue_month_count,revenue_period_start,revenue_period_end,ranking_basis,source,source_date,quality_note
1,2409,友達,twse,上市,光電業,光電業,2000-09-08,true,2026-07-29,23.65,278317227000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
2,3481,群創,twse,上市,光電業,光電業,2006-10-24,true,2026-07-29,41.8,237474122000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
3,6456,GIS-KY,twse,上市,光電業,光電業,2015-06-12,true,2026-07-29,53.3,67674767000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
4,3673,TPK-KY,twse,上市,光電業,光電業,2010-10-29,true,2026-07-29,53.5,67018854000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
5,3008,大立光,twse,上市,光電業,光電業,2002-03-11,true,2026-07-29,3850.0,62087971000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
6,6278,台表科,twse,上市,光電業,光電業,2010-08-24,true,2026-07-29,136.5,50018145000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
7,6176,瑞儀,twse,上市,光電業,光電業,2007-05-15,true,2026-07-29,83.9,48800726000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
8,5371,中光電,tpex,上櫃,光電業,光電業,1999-01-20,true,2026-07-29,71.5,40464663000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
9,8069,元太,tpex,上櫃,光電業,光電業,2004-03-30,true,2026-07-29,179.0,36689867000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
10,3019,亞光,twse,上市,光電業,光電業,2002-08-26,true,2026-07-29,123.0,27244308000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,2323,中環,twse,上市,光電業,光電業,1992-02-17,true,2026-07-29,9.51,7460895000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
