rank,stock_id,stock_name,market,listed_market,official_industry_raw,normalized_industry,listing_date,is_active_latest_price,latest_price_date,latest_close,revenue_12m,revenue_month_count,revenue_period_start,revenue_period_end,ranking_basis,source,source_date,quality_note
1,2603,長榮,twse,上市,航運業,航運業,1987-09-21,true,2026-07-29,201.5,355398355000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
2,2618,長榮航,twse,上市,航運業,航運業,2001-09-17,true,2026-07-29,41.45,225905064000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
3,2610,華航,twse,上市,航運業,航運業,1993-02-26,true,2026-07-29,21.7,213401031000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
4,2609,陽明,twse,上市,航運業,航運業,1992-04-20,true,2026-07-29,50.1,156897448000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
5,2615,萬海,twse,上市,航運業,航運業,1996-05-16,true,2026-07-29,85.0,136925318000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
6,2633,台灣高鐵,twse,上市,航運業,航運業,2016-10-27,true,2026-07-29,26.05,55165381000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
7,2646,星宇航空,twse,上市,航運業,航運業,2024-10-25,true,2026-07-29,21.5,46618220000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
8,2634,漢翔,twse,上市,航運業,航運業,2014-08-25,true,2026-07-29,60.7,35500400000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
9,5609,中菲行,tpex,上櫃,航運業,航運業,2001-10-15,true,2026-07-29,78.2,29364979000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
10,2208,台船,twse,上市,航運業,航運業,2008-12-22,true,2026-07-29,18.4,22621722000,12,2025-05-01,2026-04-01,revenue_12m,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
