股票代號,股票名稱,產業別,收盤價,MA20,評分,外資近3日淨買超,投信近3日淨買超,自營商,外資連買天數
3231,緯創,電子工業,191.0,146.325,166794540.0,133435632.0,18929000.0,1262551,3.0
1303,南亞,塑膠工業,112.5,90.655,107809492.8,89841244.0,5130853.0,-1292101,3.0
2324,仁寶,電子工業,44.35,32.0625,97778629.2,93122504.0,-41302390.0,756198,3.0
2890,永豐金,金融保險,31.0,30.155,68956695.6,57463913.0,1414577.0,-263390,3.0
2337,旺宏,半導體業,175.5,158.75,62667366.25,50133893.0,6403000.0,908061,3.0
1326,台化,塑膠工業,54.4,47.0925,57641275.0,57641275.0,-555497.0,-140070,3.0
3706,神達,電子工業,95.2,85.52000000000001,49848691.25,39878953.0,67000.0,683444,3.0
8112,至上,電子工業,94.5,85.825,18061402.5,14449122.0,4383000.0,312357,3.0
2357,華碩,電子工業,920.0,691.7,13469200.8,11224334.0,1337355.0,-123501,3.0
3036,文曄,電子工業,290.5,273.7,10072558.65,9592913.0,-11659482.0,8932,3.0
3260,威剛,半導體業,469.5,428.5,9355015.0,7484012.0,163700.0,861225,3.0
1714,和桐,化學工業,10.0,9.6495,7441096.95,7086759.0,0.0,85523,3.0
1528,恩德,電機機械,30.05,26.264999999999997,6768407.1,6446102.0,-2000.0,52910,3.0
5475,德宏,電子零組件業,320.0,305.675,5571316.8,5306016.0,-991000.0,57299,3.0
3324,雙鴻,其他電子類,1165.0,1040.35,4706446.25,3765157.0,2900.0,11710,3.0
6805,富世達,電子工業,2190.0,1853.75,2840949.6,2367458.0,1870000.0,-96339,3.0
2451,創見,電子工業,363.5,326.175,2821354.0,2821354.0,-1501000.0,-30954,3.0
2889,國票金,金融保險,14.75,14.645,2634287.0,2634287.0,-6000.0,-150000,3.0
3704,合勤控,電子工業,48.0,40.5325,2318175.3,2207786.0,0.0,5319,3.0
6214,精誠,電子工業,158.0,128.55,2082637.2,1983464.0,0.0,66279,3.0
3515,華擎,電子工業,273.5,236.675,1778833.75,1423067.0,6000.0,75157,3.0
6414,樺漢,電腦及週邊設備業,383.0,350.925,1117798.8,931499.0,22000.0,-81185,3.0
5522,遠雄,建材營造,75.1,71.105,1055295.15,1005043.0,-3000.0,75000,3.0
3372,典範,半導體業,22.25,20.34,981868.0,981868.0,0.0,-79,3.0
3322,建舜電,電子零組件業,14.3,13.15,895580.0,895580.0,0.0,0,3.0
8927,北基,油電燃氣業,19.55,19.3825,791651.7,753954.0,0.0,19000,3.0
1568,倉佑,汽車工業,48.4,33.07,674188.0,674188.0,0.0,-1000,3.0
3071,協禧,電腦及週邊設備業,33.5,30.865,603405.6,574672.0,0.0,755,3.0
2450,神腦,通信網路業,30.9,29.580000000000002,488390.7,465134.0,0.0,6000,3.0
1342,八貫,其他,94.4,93.39500000000001,330990.0,330990.0,0.0,0,3.0
2397,友通,電腦及週邊設備業,64.5,61.239999999999995,303002.0,303002.0,0.0,0,3.0
1416,廣豐,其他,11.5,11.190000000000001,253000.0,253000.0,0.0,0,3.0
6885,全福生技,生技醫療業,24.55,22.122500000000002,224887.95,214179.0,0.0,1850,3.0
8032,光菱,電子通路業,46.65,42.9825,222743.85,212137.0,0.0,9,3.0
6776,展碁國際,電子工業,61.2,58.175,197315.0,197315.0,0.0,0,3.0
2460,建通,電子工業,35.7,32.635000000000005,167000.0,167000.0,0.0,-7917,3.0
1737,臺鹽,食品工業,31.6,31.525,141000.0,141000.0,0.0,0,3.0
3297,杭特,光電業,34.2,31.0875,113400.0,108000.0,0.0,415,3.0
3054,立萬利,食品工業,72.0,68.69,112000.0,112000.0,0.0,-1,3.0
3171,炎洲流通,居家生活類,72.7,68.535,67200.0,64000.0,0.0,493,3.0
4706,大恭,化學工業,31.6,29.990000000000002,7000.0,7000.0,0.0,0,3.0
2353,宏碁,電子工業,42.55,30.494999999999997,65794355.0,65794355.0,-8273000.0,-49796,3.0
