rank,stock_id,stock_name,industry_category,close,signal,n_value,breakout_level,exit_level,stop_loss,suggested_units,avg_volume,signal_date,grade,rev_yoy
1,6414,樺漢,電腦及週邊設備業,503.0,sys2,19.72,490.0,358.0,463.56,1,2481,2026-07-23,Excellent,19.2
2,3088,艾訊,電腦及週邊設備業,154.0,sys2,7.58,152.0,123.0,138.84,1,1659,2026-07-23,Excellent,30.5
3,3231,緯創,電子工業,173.5,sys1,10.24,164.0,139.0,153.02,1,45973,2026-07-23,Excellent,117.7
4,2376,技嘉,電子工業,354.5,sys1,12.75,350.0,317.5,329.0,1,6053,2026-07-23,Excellent,74.8
5,2605,新興,航運業,32.5,sys1,1.27,32.15,29.65,29.96,7,5840,2026-07-23,Excellent,34.7
6,3665,貿聯-KY,其他電子業,2285.0,sys1,148.25,2195.0,1685.0,1988.49,1,2850,2026-07-23,Excellent,22.2
7,6166,凌華,電腦及週邊設備業,159.5,sys1,9.43,157.0,111.5,140.63,1,1953,2026-07-23,Excellent,28.8
8,6579,研揚,電子工業,183.5,sys1,8.38,181.5,145.5,166.75,1,895,2026-07-23,Excellent,16.2
9,6245,立端,通信網路業,84.9,sys1,3.16,83.8,72.4,78.58,3,692,2026-07-23,Excellent,18.8
10,8039,台虹,電子工業,256.0,sys2,13.37,233.0,135.5,229.25,1,20453,2026-07-23,Good,10.5
11,6505,台塑化,油電燃氣業,93.2,sys1,5.63,92.8,57.1,81.94,1,47333,2026-07-23,Good,7.8
12,8114,振樺電,電子工業,232.0,sys1,12.29,223.5,177.5,207.43,1,954,2026-07-23,Good,-50.7
13,1325,恆大,塑膠工業,28.25,sys1,0.84,27.5,23.9,26.56,11,590,2026-07-23,Good,-39.4
14,9103,美德醫療-DR,存託憑證,5.73,sys1,0.25,5.72,4.79,5.23,40,1715,2026-07-23,Normal,0.0
