排行,股票代號,股票名稱,產業別,股價,投資組別,MA240乖離%,現金殖利率(5年均)%,盈餘發放率%,殖利率趨勢,連續配息年,填息均天數,連續獲利年,ROA(10年均)%,ROA趨勢,本業佔比,融資維持率%,預估進場價,融資追繳警戒價,通過條件數,C1>4%,C2填息,C3連配,C4上市,C5連獲,C6_ROA,C7本業,C8發放
1,8436,大江,生技醫療業,114.5,價值,-6.5,6.44,78.2,上升,10,45.3,12,12.97,下降,89.7,162.0,147.53,91.88,8,Y,Y,Y,Y,Y,Y,Y,Y
2,4974,亞泰,電子零組件業,69.0,價值,-7.91,6.56,73.1,上升,11,75.7,12,10.92,下降,90.4,157.5,90.5,56.95,8,Y,Y,Y,Y,Y,Y,Y,Y
3,5519,隆大,建材營造,28.1,價值,-10.18,8.54,69.0,上升,11,89.7,12,5.63,上升,95.1,144.1,48.0,25.35,8,Y,Y,Y,Y,Y,Y,Y,Y
4,9911,櫻花,居家生活,82.4,價值,-3.03,4.87,79.0,上升,11,42.2,12,12.46,下降,88.9,165.1,80.27,64.88,8,Y,Y,Y,Y,Y,Y,Y,Y
5,1476,儒鴻,紡織纖維,337.5,價值,-12.29,4.22,70.0,上升,11,32.0,12,18.27,下降,98.8,167.6,285.0,261.77,8,Y,Y,Y,Y,Y,Y,Y,Y
6,4536,拓凱,運動休閒,165.5,價值,-1.91,4.98,57.2,上升,11,40.5,12,9.83,上升,88.1,170.8,165.0,125.96,8,Y,Y,Y,Y,Y,Y,Y,Y
7,3684,榮昌,通信網路業,51.7,價值,-4.82,4.09,72.6,上升,11,9.7,12,8.72,下降,93.5,150.8,42.25,44.57,8,Y,Y,Y,Y,Y,Y,Y,Y
8,3118,進階,生技醫療業,31.95,價值,-3.39,5.69,90.2,上升,11,109.8,12,7.98,上升,92.8,163.0,36.33,25.48,8,Y,Y,Y,Y,Y,Y,Y,Y
9,5013,強新,鋼鐵工業,24.6,價值,-14.53,4.72,42.2,上升,10,19.2,12,5.92,連續下降,108.9,149.5,23.2,21.4,8,Y,Y,Y,Y,Y,Y,Y,Y
10,4549,桓達,電機機械,96.4,價值,-13.39,4.19,73.5,下降,10,54.8,12,12.23,下降,88.7,154.1,80.75,81.34,8,Y,Y,Y,Y,Y,Y,Y,Y
11,9917,中保科,其他,107.5,價值,-2.82,4.81,86.3,下降,11,103.8,12,9.71,下降,102.0,159.9,103.4,87.41,8,Y,Y,Y,Y,Y,Y,Y,Y
12,3515,華擎,電腦及週邊設備業,209.0,價值,-16.17,4.16,73.8,下降,11,40.5,12,8.55,下降,96.3,149.9,174.01,181.23,8,Y,Y,Y,Y,Y,Y,Y,Y
13,9930,中聯資源,綠能環保,62.8,價值,-10.35,4.78,81.7,上升,11,72.5,12,8.25,連續上升,99.4,154.8,60.0,52.76,8,Y,Y,Y,Y,Y,Y,Y,Y
14,1225,福懋油,食品工業,26.6,價值,-12.41,4.54,68.9,連續下降,10,63.7,12,5.09,下降,98.8,148.9,24.16,23.23,8,Y,Y,Y,Y,Y,Y,Y,Y
15,1319,東陽,汽車工業,73.2,價值,-20.83,4.2,71.2,上升,11,75.5,12,6.45,上升,84.1,147.0,61.5,64.73,8,Y,Y,Y,Y,Y,Y,Y,Y
16,2377,微星,電腦及週邊設備業,155.0,強勢,36.65,4.34,59.2,下降,10,45.2,12,10.32,連續下降,93.3,201.0,134.4,100.26,8,Y,Y,Y,Y,Y,Y,Y,Y
17,9927,泰銘,其他,69.4,強勢,5.86,5.95,90.5,上升,10,61.2,12,10.48,下降,93.3,168.5,82.6,53.55,8,Y,Y,Y,Y,Y,Y,Y,Y
18,6245,立端,通信網路業,81.4,強勢,6.77,4.56,59.8,下降,10,61.8,12,9.11,下降,88.6,164.3,74.31,64.4,8,Y,Y,Y,Y,Y,Y,Y,Y
19,2420,新巨,電子零組件業,58.0,強勢,6.83,5.36,82.1,上升,10,90.3,12,9.47,上升,86.2,161.1,62.2,46.8,8,Y,Y,Y,Y,Y,Y,Y,Y
20,2488,漢平,電子工業,49.4,強勢,2.28,4.79,64.8,上升,11,90.0,12,8.8,上升,81.0,157.0,47.33,40.91,8,Y,Y,Y,Y,Y,Y,Y,Y
21,3537,堡達,電子零組件業,57.8,強勢,14.99,4.43,73.7,下降,10,103.0,12,8.8,下降,101.2,145.7,51.2,51.57,8,Y,Y,Y,Y,Y,Y,Y,Y
22,2414,精技,電子工業,57.3,強勢,25.94,4.12,85.7,上升,10,128.2,12,5.2,下降,99.3,174.1,47.2,42.79,8,Y,Y,Y,Y,Y,Y,Y,Y
1,8436,大江,生技醫療業,114.5,價值,-6.5,6.44,78.2,上升,10,45.3,12,12.97,下降,89.7,162.0,147.53,91.88,8,Y,Y,Y,Y,Y,Y,Y,Y
2,4974,亞泰,電子零組件業,69.0,價值,-7.91,6.56,73.1,上升,11,75.7,12,10.92,下降,90.4,157.5,90.5,56.95,8,Y,Y,Y,Y,Y,Y,Y,Y
3,5519,隆大,建材營造,28.1,價值,-10.18,8.54,69.0,上升,11,89.7,12,5.63,上升,95.1,144.1,48.0,25.35,8,Y,Y,Y,Y,Y,Y,Y,Y
