排名,代號,名稱,產業別,收盤價,RSI,K值,ATR,法人合計(張),外資(張),投信(張),大戶持股%,大戶資料日,ROE%,技術分,技術明細
1,1307,三芳,塑膠工業,34.95,49.3,67.2,1.42,252000,252000,0,81.69,2026-03-20,765.09,45,EMA多排(+15)、MACD↑(+10)、RSI57(+10)、週線共振(+10)
2,7728,光焱科技,其他電子類,891.0,49.7,75.1,79.0,63000,63000,0,57.16,2026-03-20,133.39,45,EMA多排(+15)、MACD↑(+10)、RSI63(+10)、週線共振(+10)
3,9918,欣天然,油電燃氣業,51.3,59.5,39.3,4.88,117800,117800,0,82.65,2026-03-20,263.92,45,EMA多排(+15)、MACD↑(+10)、RSI59(+10)、週線共振(+10)
4,9931,欣高,油電燃氣業,43.1,58.9,41.2,3.92,219000,219000,0,78.14,2026-03-20,517.27,45,EMA多排(+15)、MACD↑(+10)、RSI58(+10)、週線共振(+10)
5,2548,華固,建材營造,117.5,57.4,63.4,3.64,110350,110350,0,57.17,2026-03-20,,35,EMA多排(+15)、RSI58(+10)、週線共振(+10)
6,1904,正隆,造紙工業,18.35,49.4,45.3,0.52,688000,688000,0,64.65,2026-03-20,158.18,30,MACD↑(+10)、RSI57(+10)、週線共振(+10)
7,1905,華紙,造紙工業,12.5,54.2,55.8,0.41,569000,569000,0,71.55,2026-03-20,158.6,30,MACD↑(+10)、RSI60(+10)、週線共振(+10)
8,2025,千興,鋼鐵工業,12.75,59.4,73.7,0.6,90000,90000,0,61.77,2026-03-20,422.89,30,MACD↑(+10)、RSI64(+10)、週線共振(+10)
9,2481,強茂,電子工業,92.0,50.0,54.2,6.27,1404000,1439000,-35000,64.2,2026-03-20,591.58,30,EMA多排(+15)、RSI49(+10)、階梯(+5)
10,2486,一詮,電子工業,143.0,53.5,59.1,11.71,11500,11500,0,50.06,2026-03-20,294.24,30,EMA多排(+15)、RSI52(+10)、錘頭(+5)
11,3550,聯穎,電子零組件業,18.35,51.7,54.2,1.3,180000,180000,0,42.29,2026-03-20,901.76,30,EMA多排(+15)、RSI53(+10)、階梯(+5)
12,6207,雷科,電子零組件業,54.7,37.6,36.7,3.22,999000,999000,0,17.67,2026-03-20,714.35,30,MACD↑(+10)、RSI54(+10)、週線共振(+10)
13,6285,啟碁,通信網路業,166.0,42.9,58.6,10.5,1632698,1660698,-28000,64.46,2026-03-20,446.22,30,EMA多排(+15)、RSI49(+10)、階梯(+5)
14,1582,信錦,電子零組件業,84.8,58.8,30.6,6.63,824000,824000,0,33.26,2026-03-20,742.9,25,EMA多排(+15)、RSI54(+10)
15,1727,中華化,化學生技醫療,52.1,53.7,44.4,4.26,150000,150000,0,55.81,2026-03-20,9.26,25,EMA多排(+15)、RSI54(+10)
