股票代號,股票名稱,成本價,現價,損益率(%),建議動作,詳細原因,風險指數
3551,世禾,130.0,181.0,39.23,🔴 避險停損 (Stop Loss),殖利率過低(0.55% < 3%); 股利縮水或停發,2
2412,中華電,130.0,133.5,2.69,✅ 續抱 (Hold),無,0
2002,中鋼,20.18,20.65,2.33,🔴 避險停損 (Stop Loss),EPS虧損(-0.27),1
2393,億光,51.07,57.2,12.0,✅ 續抱 (Hold),無,0
4417,金洲,54.1,51.9,-4.07,✅ 續抱 (Hold),無,0
5212,凌網,54.5,52.0,-4.59,🔴 避險停損 (Stop Loss),股利縮水或停發,1
5315,光聯,23.95,25.0,4.38,🔴 避險停損 (Stop Loss),股利縮水或停發,1
5511,德昌,64.5,67.6,4.81,🔴 避險停損 (Stop Loss),股利縮水或停發,1
5519,隆大,32.23,30.25,-6.14,✅ 續抱 (Hold),無,0
2385,群光,115.0,117.0,1.74,✅ 續抱 (Hold),無,0
3217,優群,169.0,157.0,-7.1,🔴 避險停損 (Stop Loss),股利縮水或停發,1
