代號,名稱,產業,目前股價,MA240,240MA乖離率,指標1得分(殖利率),指標2得分(填息),指標3得分(連續配息),指標4得分(上市時間),指標5得分(連續獲利),指標6得分(ROA),指標7得分(本業佔比),總分,評級,5年平均殖利率,5年平均填息天數,10年平均ROA,平均本業佔比
8422,可寧衛*,其他,36.35,156.79916666666668,-76.81747883439007,2,1,1,1,1,2,1,9,優選,5.240583229304276,272.6,16.14876445276542,0.9798446125295748
6206,飛捷,電子,90.2,112.03833333333333,-19.491840590274155,2,0,1,1,1,2,1,8,優選,5.3381470045399695,74.25,12.976149458902341,0.9363600377255104
6176,瑞儀,電子,119.5,143.88125,-16.945397680378782,2,0,1,1,1,2,1,8,優選,6.931243110252574,231.25,8.652419500330467,0.8443084744067335
2385,群光,電子,116.0,139.13958333333332,-16.630481980026047,2,0,1,1,1,2,1,8,優選,6.017998335466066,292.0,8.729350601403455,0.8768785436214444
4974,亞泰,電子,72.8,85.11416666666668,-14.467822630388607,2,1,1,1,1,2,1,9,優選,6.679736111968063,89.2,10.573319509297717,0.8786969623439557
3479,安勤,電子,88.6,101.75541666666666,-12.928468181464542,2,1,1,1,1,2,1,9,優選,4.797192018331182,87.2,9.3684172130136,0.8903167816511184
3293,鈊象,其他,703.0,800.3625,-12.164800324852797,2,1,0,1,1,2,1,8,優選,5.895265480457667,169.66666666666666,31.289683190639636,0.9787783176932091
3014,聯陽,電子,117.0,131.42916666666667,-10.978664045905594,2,0,1,1,1,2,1,8,優選,6.602804064182573,221.5,13.727381945806453,0.9409373226930619
2480,敦陽科,電子,139.5,156.56041666666667,-10.897017924390212,2,1,1,1,1,2,1,9,優選,5.464091314822131,70.6,9.499847581306494,0.9088187973790166
3213,茂訊,電子,97.5,108.15291666666666,-9.849865352683498,2,1,1,1,1,2,1,9,優選,6.310187721581984,75.4,13.968724160455356,0.7972769580457277
2420,新巨,電子,49.95,54.27104166666666,-7.961965597061034,2,0,1,1,1,2,1,8,優選,6.016698069384349,111.5,9.451731470148182,0.8251031584389628
