排行,代號,名稱,產業,目前股價,MA240,240MA乖離率,配息頻率,指標1得分(殖利率),指標2得分(填息),指標3得分(連續配息),指標4得分(上市時間),指標5得分(連續獲利),指標6得分(ROA),指標7得分(本業佔比),總分,評級,原始評級,5年平均殖利率,5年平均填息天數,10年平均ROA,平均本業佔比,近3月營收YoY,最新月MoM,備註
1,3526,凡甲,電子,317.0,270.8183333333333,17.052636761420633,年配,2,2,1,1,1,2,1,10.0,精選,精選,5.854202913264526,15.0,14.85779901775891,0.9154092257092455,19.034082301356104,82.2704037428522,營運動能復甦中
2,6192,巨路,電子,121.0,111.24187500000001,8.771988965486237,年配,2,1,1,1,1,2,1,9.0,優選,優選,4.954545672744871,132.33333333333334,8.909312912976887,0.9503738534781749,-0.6232321249339812,62.2309987752423,營運動能復甦中
3,3402,漢科,電子,141.5,125.13485583333333,13.078006169970216,年配,2,1,1,1,1,2,1,9.0,優選,優選,6.022718099256949,30.4,7.142804173180954,0.9123140910287184,10.621968317406093,4.845784415968057,
4,2420,新巨,電子,61.4,53.207251666666664,15.397804014872538,年配,2,1,1,1,1,2,1,9.0,優選,優選,6.016698069384349,94.0,9.404112869291946,0.8097642007541286,0.6914006242654258,32.0662381636327,營運動能復甦中
5,8109,博大,電子,120.5,102.75541666666668,17.268757121481826,年配,2,1,1,1,1,2,1,9.0,優選,優選,4.903979252527504,89.83333333333333,13.117430647854869,0.8631989836043692,20.633346420759047,50.56358441343327,營運動能復甦中
6,3213,茂訊,電子,128.0,108.42875000000001,18.04987145936847,年配,2,1,1,1,1,2,1,9.0,優選,優選,6.310187721581984,52.0,13.423003490168778,0.8054937952295061,-4.581260636638018,44.10277989911111,營運動能復甦中
7,6206,飛捷,電子,130.5,107.84254625,21.00975407004543,年配,2,1,1,1,1,2,1,9.0,優選,優選,5.3381470045399695,80.2,12.767406907302561,0.955704628412396,10.960028330776517,8.30512772895462,
8,3479,安勤,電子,135.5,101.68467791666667,33.25508107627178,年配,2,1,1,1,1,2,1,9.0,優選,優選,4.797192018331182,59.6,9.015199997401009,0.9092127655519165,10.997601754571274,37.361217186556786,營運動能復甦中
9,2423,固緯,電子,78.2,55.147083333333335,41.80260364328727,年配,2,1,1,1,1,2,1,9.0,優選,優選,4.967314956396811,76.0,9.5981696500684,0.9400075907625176,28.376864737685214,66.99142140210705,營運動能復甦中
10,3152,璟德,電子,208.0,140.71296458333333,47.81864671525543,年配,0,2,1,1,1,2,1,8.0,優選,優選,3.223313400520356,6.8,15.783218701812398,0.827382873009181,-8.750666714998111,9.874851391699725,極速填息
11,8210,勤誠,電子,1325.0,889.7958333333333,48.91056468946528,年配,0,2,1,1,1,2,1,8.0,優選,優選,3.1007154059806816,9.4,11.673238215468768,0.9630155634237895,71.10456979934618,28.519483182936845,極速填息
12,2451,創見,電子,294.0,192.96924416666667,52.355885140988335,年配,2,1,1,1,1,2,1,9.0,優選,優選,5.939323036501326,108.0,11.237675415983874,0.7527390095542742,413.93097175166514,31.060688431614093,營運動能復甦中
13,5536,聖暉*,電子,1300.0,761.9846954166666,70.60710114251538,半年配,2,1,1,1,1,2,1,9.0,優選,優選,6.824567831809013,30.8,9.839629434799267,0.9459687421817042,35.614198325553815,89.16776846586924,營運動能復甦中
14,6613,朋億*,電子,359.0,204.19166666666666,75.81520630126923,半年配,2,1,1,0,1,2,1,8.0,優選,優選,6.946156448044891,69.8,10.989203211151025,0.943049453698135,8.950368422791266,69.61875391433261,營運動能復甦中
15,6239,力成,電子,338.0,192.04195458333334,76.00320759770786,年配,2,1,1,1,1,2,1,9.0,優選,優選,5.5044216796983845,112.4,7.877042783534671,0.8761960776551104,37.56457364997505,10.025071783989215,
16,4908,前鼎,電子,203.0,112.03481624999999,81.19367424766943,年配,0,2,1,1,1,2,1,8.0,優選,優選,3.741199195446731,8.4,9.165928383011988,0.8863328456402467,25.039686839043362,16.978359776766716,極速填息
17,6257,矽格,半導體,242.5,125.88550916666667,92.63535700438807,年配,1,2,1,1,1,2,1,9.0,優選,優選,5.657148237027807,11.8,7.500620006952998,0.8791386223606431,12.998710086703614,15.45998704909537,
18,8358,金居,電子,638.0,272.451015,134.1705352061177,年配,0,2,1,1,1,2,1,8.0,優選,優選,3.9747627249995148,4.2,11.121859660103194,1.0171441851702958,46.53258956654693,1.1489997814115194,極速填息
19,3090,日電貿,電子,303.0,104.43548666666668,190.13126636456838,年配,2,1,1,1,1,2,1,9.0,優選,優選,6.644238293614618,112.4,10.288634292166671,0.9468216075529099,18.355585425825673,17.790221465436694,
20,6546,正基,電子,72.2,71.61541666666668,0.8162814105435781,年配,1,1,1,0,1,1,1,6.0,入選,入選,4.197595305002286,41.2,7.877914351896007,0.8824751807389312,-16.09907326822303,78.52501133444159,營收衰退警示 | 營運動能復甦中
21,8183,精星,電子,31.95,31.66915291666667,0.8868158995990331,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.2834734787031437,29.0,6.498050687148778,0.899993408409896,14.33739500080069,41.065708369060516,營運動能復甦中
22,5315,光聯,電子,23.15,22.73075041666667,1.8444159372139612,年配,2,1,1,1,1,1,1,8.0,入選,入選,6.142133280728517,98.4,9.020668365330089,0.7549207211522347,-11.36035342214866,0.07202412197713226,
23,5439,高技,電子,320.5,312.53997125,2.5468834332338193,年配,0,1,1,1,1,2,1,7.0,入選,入選,3.9627287957851345,18.2,10.631254329859408,0.9751224252419612,78.18189222454939,11.541715551203936,
24,5007,三星,傳統產業,56.3,54.88666666666666,2.575003036560186,年配,1,1,1,1,1,2,1,8.0,入選,入選,4.976802147949166,160.66666666666666,12.062001185339644,0.9208285898466102,-10.802641863464778,22.80819402883345,營運動能復甦中
25,8415,大國鋼,傳統產業,35.1,34.15645833333334,2.7624107202761636,年配,1,1,1,0,1,1,1,6.0,入選,入選,4.455798460903068,61.6,5.8848798241314375,0.9348131191154045,12.544785672667569,14.160257950813104,
26,1612,宏泰,電子,37.6,36.29473208333333,3.596301286009646,年配,2,1,1,1,1,1,1,8.0,入選,入選,6.872546801915563,100.6,8.707946967212447,0.7131609027319314,7.280954017880847,50.927389153207514,營運動能復甦中
27,2006,東和鋼鐵,傳統產業,69.8,66.725,4.6084675908580035,年配,1,1,1,1,1,1,1,7.0,入選,入選,5.486481649731216,205.8,6.17281971695977,0.9722739058823225,-6.242125676747545,63.38084326599515,營運動能復甦中 | 填息龜速警示
28,3217,優群,電子,177.0,168.22378625000002,5.2169874104233465,年配,1,1,1,1,1,2,1,8.0,入選,入選,5.153966669880264,75.2,14.43070934343864,0.8637802737930007,2.63757867592771,34.535519956804926,營運動能復甦中
29,4207,環泰,食品餐飲,19.55,18.455416666666668,5.930959745332215,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.941410359102818,30.666666666666668,5.201819382012756,0.9493048576419699,2.9283303699928265,13.402627632245023,
30,5474,聰泰,電子,172.5,162.71691833333335,6.012332194385305,年配,0,1,1,1,1,2,1,7.0,入選,入選,3.7687720344950186,144.0,17.100089297547534,0.8719836062099731,0.43861323265586005,-7.956379892304389,
31,6245,立端,電子,80.4,75.24876958333334,6.845600858578818,年配,1,1,1,1,1,2,1,8.0,入選,入選,4.6241689400392,75.2,9.390197692202984,0.9133694491918686,-9.563367968974601,71.69596481844653,營運動能復甦中
32,3689,湧德,電子,118.0,110.31544125,6.965986504631775,年配,1,2,1,1,1,0,1,7.0,入選,入選,4.0338667965447526,4.8,4.87246310056612,0.8220429490381413,29.36159254238746,53.23759884295751,營運動能復甦中 | 極速填息 | ROA 偏低，注意營運效率
33,2412,中華電,電子,143.5,134.07276166666665,7.0314344361545,年配,0,1,1,1,1,2,1,7.0,入選,入選,3.7275678074707677,192.8,7.6682463809656145,0.9800931699112331,7.489957292995042,10.657539677512396,填息龜速警示
34,3416,融程電,電子,171.0,159.575,7.15964280119067,年配,1,1,1,1,1,1,1,7.0,入選,入選,4.463651146989716,44.4,9.735913811456031,0.9254540646915087,18.20639382069682,21.083146841108636,
35,4953,緯軟,電子,126.5,117.7968375,7.388281964700457,年配,1,1,1,1,1,1,1,7.0,入選,入選,4.59879165467331,58.6,10.470728954345953,0.9264822667656306,28.66443802341476,16.05586427661747,
36,8213,志超,電子,37.3,34.62280416666667,7.7324638999368425,年配,1,1,1,1,1,0,1,6.0,入選,入選,6.062820688629236,184.2,4.169668255489081,0.8776232859823712,7.570464310535074,25.322698881875638,營運動能復甦中 | 填息龜速警示 | ROA 偏低，注意營運效率
37,3684,榮昌,電子,56.9,52.80916666666666,7.746445535023913,年配,1,2,1,1,1,1,1,8.0,入選,入選,4.152533624495228,12.0,8.764629103805486,0.9446604130386875,12.17347286104542,-7.331783415883287,
38,9927,泰銘,其他,69.4,64.32952083333333,7.882040937011496,年配,1,1,1,1,1,2,1,8.0,入選,入選,7.242253889924571,63.6,10.22815026354122,0.876954363020916,4.761845104755769,53.792878619025416,營運動能復甦中
39,3227,原相,半導體,228.5,211.14501166666665,8.219464052852722,年配,1,1,1,1,1,1,1,7.0,入選,入選,5.155162933113295,21.0,9.800944116014762,0.7056791767576109,-5.933083045451182,15.914895715961453,
40,5522,遠雄,傳統產業,71.5,66.03791666666667,8.271132114757291,半年配,1,1,1,1,1,0,1,6.0,入選,入選,6.2492696601554085,141.4,4.126532290616445,1.0232535151796167,798.1935029547884,75.7037939311432,ROA 偏低，注意營運效率
41,2501,國建,傳統產業,24.3,22.44356375,8.271575186004057,年配,1,1,1,1,1,0,1,6.0,入選,入選,4.004236267490431,151.0,3.151561474105768,1.0176794268580562,116.43980679418955,31.89148224526528,營運動能復甦中 | ROA 偏低，注意營運效率
42,5234,達興材料,電子,389.5,358.61875,8.611164363268799,年配,0,1,1,1,1,2,1,7.0,入選,入選,3.942151270416683,36.2,13.62586423104383,0.9587133377182425,8.610744444243522,15.725366870582324,
43,5519,隆大,傳統產業,33.8,31.078125,8.758169934640513,年配,2,1,1,1,1,1,1,8.0,入選,入選,7.688784882205543,82.8,5.529056275469844,0.9924831807242318,-9.488665610439273,154.55989771840598,營運動能復甦中
44,3484,崧騰,電子,51.8,47.622573333333335,8.771946525079272,年配,1,1,1,1,1,1,1,7.0,入選,入選,4.656244082229977,149.6,5.996067420181662,0.8646866273739668,-4.351407524055773,25.586123932685645,營運動能復甦中
45,6214,精誠,電子,131.0,120.19166666666666,8.992581293766904,年配,1,1,1,1,1,1,1,7.0,入選,入選,5.0462104800858665,128.8,6.122023415295427,0.7208139131602197,21.68964026850304,60.68177714190466,營運動能復甦中
46,3045,台灣大,電子,119.5,109.02676083333334,9.606117880248553,年配,1,1,1,1,1,2,1,8.0,入選,入選,4.03705520622375,187.8,7.972798077585236,1.0380282680342618,3.344485215951143,10.21502484450243,填息龜速警示
47,3551,世禾,綠能環保,202.0,180.49116999999998,11.916832274952851,年配,0,2,1,1,1,1,1,7.0,入選,入選,3.730957426135994,9.8,6.368261768481554,0.8992852402118183,19.11460773844236,6.048607844800324,極速填息
